Métrica,Mínimo,Máximo,Media,Mediana,Desviación Estándar
Accuracy,0.7975,1.0,0.9808,0.995,0.0393
Precision,0.0,0.9375,0.1384,0.0,0.3068
Recall,0.0,1.0,0.1326,0.0,0.2949
F1-Measure,0.0,0.9206,0.1291,0.0,0.2804
