confusion_matrix_iteracion_33.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_34.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_35.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_36.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_37.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_38.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_39.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_40.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_41.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_42.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_43.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_44.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_45.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_46.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_47.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_48.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_49.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_50.txt: Accuracy = 0.9875, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_51.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_52.txt: Accuracy = 0.9875, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_53.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_54.txt: Accuracy = 0.9850, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_55.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_56.txt: Accuracy = 0.9850, Precision = 0.2500, Recall = 1.0000, Measure = 0.4000
confusion_matrix_iteracion_57.txt: Accuracy = 0.9975, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_58.txt: Accuracy = 0.9650, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_59.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_60.txt: Accuracy = 0.9750, Precision = 0.2500, Recall = 0.7500, Measure = 0.3750
confusion_matrix_iteracion_61.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_62.txt: Accuracy = 0.9675, Precision = 0.2500, Recall = 0.8000, Measure = 0.3810
confusion_matrix_iteracion_63.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_64.txt: Accuracy = 0.9500, Precision = 0.0952, Recall = 0.6667, Measure = 0.1667
confusion_matrix_iteracion_65.txt: Accuracy = 0.9625, Precision = 0.1176, Recall = 1.0000, Measure = 0.2105
confusion_matrix_iteracion_66.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_67.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_68.txt: Accuracy = 0.9550, Precision = 0.1500, Recall = 0.7500, Measure = 0.2500
confusion_matrix_iteracion_69.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_70.txt: Accuracy = 0.9550, Precision = 0.2000, Recall = 0.6667, Measure = 0.3077
confusion_matrix_iteracion_71.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_72.txt: Accuracy = 0.9475, Precision = 0.2174, Recall = 0.6250, Measure = 0.3226
confusion_matrix_iteracion_73.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_74.txt: Accuracy = 0.9375, Precision = 0.2308, Recall = 0.5455, Measure = 0.3243
confusion_matrix_iteracion_75.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_76.txt: Accuracy = 0.9575, Precision = 0.1579, Recall = 0.7500, Measure = 0.2609
confusion_matrix_iteracion_77.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_78.txt: Accuracy = 0.9450, Precision = 0.0476, Recall = 0.3333, Measure = 0.0833
confusion_matrix_iteracion_79.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_80.txt: Accuracy = 0.9400, Precision = 0.2381, Recall = 0.3846, Measure = 0.2941
confusion_matrix_iteracion_81.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_82.txt: Accuracy = 0.9500, Precision = 0.3182, Recall = 0.5833, Measure = 0.4118
confusion_matrix_iteracion_83.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_84.txt: Accuracy = 0.9425, Precision = 0.1500, Recall = 0.3333, Measure = 0.2069
confusion_matrix_iteracion_85.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_86.txt: Accuracy = 0.9325, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_87.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_88.txt: Accuracy = 0.9550, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_89.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_90.txt: Accuracy = 0.9650, Precision = 0.0909, Recall = 0.2000, Measure = 0.1250
confusion_matrix_iteracion_91.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_92.txt: Accuracy = 0.9625, Precision = 0.2778, Recall = 0.7143, Measure = 0.4000
confusion_matrix_iteracion_93.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_94.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_95.txt: Accuracy = 0.9625, Precision = 0.1538, Recall = 0.3333, Measure = 0.2105
confusion_matrix_iteracion_96.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_97.txt: Accuracy = 0.9625, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_98.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_99.txt: Accuracy = 0.9625, Precision = 0.1176, Recall = 1.0000, Measure = 0.2105
confusion_matrix_iteracion_100.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_101.txt: Accuracy = 0.9675, Precision = 0.1429, Recall = 0.6667, Measure = 0.2353
confusion_matrix_iteracion_102.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_103.txt: Accuracy = 0.9875, Precision = 0.1667, Recall = 1.0000, Measure = 0.2857
confusion_matrix_iteracion_104.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_105.txt: Accuracy = 0.9900, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_106.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_107.txt: Accuracy = 0.9900, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_108.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_109.txt: Accuracy = 0.9925, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_110.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_111.txt: Accuracy = 0.9950, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_112.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_113.txt: Accuracy = 0.9950, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_114.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_115.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_116.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_117.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_118.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_119.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
