Métrica,Mínimo,Máximo,Media,Mediana,Desviación Estándar
Accuracy,0.9325,1.0,0.9907,1.0,0.0176
Precision,0.0,0.3182,0.0302,0.0,0.0732
Recall,0.0,1.0,0.1092,0.0,0.2628
F1-Measure,0.0,0.4118,0.0455,0.0,0.1084
