Métrica,Mínimo,Máximo,Media,Mediana,Desviación Estándar
Accuracy,0.925,1.0,0.981,0.9925,0.0224
Precision,0.0,1.0,0.0791,0.0,0.1723
Recall,0.0,1.0,0.1163,0.0,0.2568
F1-Measure,0.0,1.0,0.0861,0.0,0.1866
