Métrica,Mínimo,Máximo,Media,Mediana,Desviación Estándar
Accuracy,0.885,1.0,0.9837,1.0,0.0339
Precision,0.0,0.8,0.0451,0.0,0.1429
Recall,0.0,1.0,0.1694,0.0,0.3527
F1-Measure,0.0,0.8889,0.0585,0.0,0.1639
