Métrica,Mínimo,Máximo,Media,Mediana,Desviación Estándar
AccuracyHS,0.925,1.0,0.9810000000000001,0.9925,0.02243834144197531
AccuracyLK,0.9325,1.0,0.9907083333333333,1.0,0.017628053321024677
PrecisionHS,0.0,1.0,0.07909094083528732,0.0,0.17234827232084146
PrecisionLK,0.0,0.3181818181818182,0.0301878368399771,0.0,0.07319013957767646
RecallHS,0.0,1.0,0.11625333789304378,0.0,0.2567822781182168
RecallLK,0.0,1.0,0.10918907481407482,0.0,0.26283792049896654
F1-MeasureHS,0.0,1.0,0.08609533253711037,0.0,0.1865574329464288
F1-MeasureLK,0.0,0.4117647058823529,0.04551487898952312,0.0,0.10842808561868586
