Métrica,x2,sw,skewness,kurtosis,ttest,wilcoxon
Accuracy,0.0,0.0,0.0013,0.0001,0.0,0.0
Precision,0.0,0.0,0.0,0.0,0.0003,0.0002
recall,0.0,0.0,0.0002,0.0,0.7288,0.7365
F1,0.0,0.0,0.0,0.0,0.0028,0.0007
