Métrica,x2,sw,skewness,kurtosis,ttest,wilcoxon
Accuracy,0.0,0.0,0.008,0.0,0.7922,0.9287
Precision,0.0,0.0,0.0,0.0,0.0001,0.0001
recall,0.0,0.0,0.0,0.0,0.0005,0.0011
F1,0.0,0.0,0.0,0.0,0.0001,0.0001
