Métrica,Mínimo,Máximo,Media,Mediana,Desviación Estándar
AccuracyHS,0.955,1.0,0.9948500000000001,1.0,0.008456900535460181
AccuracyLK,0.9525,1.0,0.9947333333333332,1.0,0.009921133447791579
PrecisionHS,0.0,0.7142857142857143,0.06932954082954083,0.0,0.16393877663998163
PrecisionLK,0.0,0.6666666666666666,0.017612748362748364,0.0,0.08460397004984009
RecallHS,0.0,1.0,0.1698860028860029,0.0,0.3616411343353127
RecallLK,0.0,1.0,0.06703703703703703,0.0,0.24235611884207103
F1-MeasureHS,0.0,0.8,0.09259027084027084,0.0,0.2086647987246359
F1-MeasureLK,0.0,0.8,0.024993894993894993,0.0,0.11039861342248464
