Métrica,Mínimo,Máximo,Media,Mediana,Desviación Estándar
Accuracy,0.955,1.0,0.9948500000000001,1.0,0.008456900535460181
Precision,0.0,0.7142857142857143,0.06932954082954083,0.0,0.16393877663998163
Recall,0.0,1.0,0.1698860028860029,0.0,0.3616411343353127
F1-Measure,0.0,0.8,0.09259027084027084,0.0,0.2086647987246359
