Métrica,Mínimo,Máximo,Media,Mediana,Desviación Estándar
AccuracyHS,0.7975,1.0,0.9807777777777775,0.995,0.039341179380665864
AccuracyLK,0.885,1.0,0.9836666666666667,1.0,0.03386082626805724
PrecisionHS,0.0,0.9375,0.13844726062468,0.0,0.3068232309023866
PrecisionLK,0.0,0.8,0.04507751607213972,0.0,0.142903661888475PrecisionLK,0.0,0.8,0.04507751607213972,0.0,0.142903661888475
RecallHS,0.0,1.0,0.1325547989884148,0.0,0.29487436793478744
RecallLK,0.0,1.0,0.16944444444444445,0.0,0.3527230928744438
F1-MeasureHS,0.0,0.9206349206349206,0.12905405066387765,0.0,0.2803640370028033
F1-MeasureLK,0.0,0.8888888888888888,0.05853530125269255,0.0,0.16385256988720032
