Métrica,x2,sw,skewness,kurtosis,ttest,wilcoxon
Accuracy,0.0,0.0,0.0,0.0,0.6165,0.5507
Precision,0.007,0.0,0.0147,0.0465,0.0746,0.0651
recall,0.0006,0.0,0.0463,0.001,0.4717,0.5028
F1,0.0642,0.0,0.3252,0.0335,0.147,0.0995
