Métrica,Mínimo,Máximo,Media,Mediana,Desviación Estándar
Accuracy,0.9525,1.0,0.9947,1.0,0.0099
Precision,0.0,0.6667,0.0176,0.0,0.0846
Recall,0.0,1.0,0.067,0.0,0.2424
F1-Measure,0.0,0.8,0.025,0.0,0.1104
